[16:06:52.250] [SEVERE ] updating countdown to 55975
[16:06:52.272] [SEVERE ] updating countdown to 55953
[16:06:52.298] [SEVERE ] updating countdown to 55927
[16:06:52.323] [SEVERE ] updating countdown to 55902
[16:06:52.344] [SEVERE ] updating countdown to 55881
[16:06:52.369] [SEVERE ] updating countdown to 55856
[16:06:52.394] [SEVERE ] updating countdown to 55831
[16:06:52.419] [SEVERE ] updating countdown to 55806
[16:06:52.444] [SEVERE ] updating countdown to 55781
[16:06:52.469] [SEVERE ] updating countdown to 55756
[16:06:52.492] [SEVERE ] setting player 4 freeze to 0
[16:06:52.492] [SEVERE ] setting player 3 freeze to 0
[16:06:52.493] [SEVERE ] setting player 2 freeze to 0
